"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
3.85113303122792,3.35261673917294,3.52030639268295,5.48984007914064,3.53310152804408,4.46625595840868,2.62798203159707,5.20000522655342,4.63784471418975,2.66925319967289,3.20915326861057
3.30187466310506,3.01753025815547,3.90405595992872,5.28163443000037,3.73984402910491,4.86208393433994,3.08251150483903,5.73255749309969,3.74565027095031,2.14181541697268,3.1249467554453
3.97784076842756,3.42909232961009,4.26508542780753,5.26293655903828,3.21249949777884,5.20479541596049,3.2302917456213,5.55133905656907,2.812365071259,2.74546692905153,2.5739517840806
3.32623348913108,3.38949668970994,3.90177916530564,5.85081782185688,4.17444915414697,4.66656365269401,4.0355000759375,4.94967786701663,4.17278480799587,2.97379236694957,3.45656066809421
3.72856684652383,3.42509155173699,3.87253114776337,4.83207562318788,4.10572805214642,4.4287188892589,2.61236758384565,5.4498620623363,4.57667948086739,2.3232985189111,3.240882185263
2.94609342974846,3.2820976300047,3.75887947620296,5.02818814165357,3.46254797367611,4.85161516390307,2.25935871570173,5.84930277950576,4.37054513232683,2.92069836895487,3.08212371339353
2.7073892259177,3.21026256603255,3.64580588475261,4.16281059844321,3.51352031590256,4.80294979736587,3.42054166330876,5.11358764350079,3.92246052649306,2.50947424799785,2.95848029737184
3.47289680410888,3.34571606778078,4.16633228015154,4.7673627345974,3.77185158289696,5.33357341366012,2.35300906203183,5.71940671988716,4.79477022224037,2.58322844062852,3.57433944517156
3.3677226855522,3.44801310767891,3.99452394353441,4.68168943590706,3.80778935155118,4.35083773024144,3.14801984723495,5.48320975973306,4.87866473558922,2.40532119268703,2.91934802054142
3.4178418639156,3.00850150450442,4.0369515800047,4.69627261008247,3.93977609414036,4.38459595879905,2.74372788458535,4.84818131564029,3.86197479570697,2.70148217988051,3.05031356639215
2.65870522029238,3.36032841583159,4.10265974729717,5.35659386320019,3.96016381443827,4.62598111029761,3.69141576208428,4.83680320259715,3.97068910945788,3.02569511407649,3.35505032527522
4.49830698674554,3.68764484032426,5.24678412749225,6.37171494792033,4.2146077966198,4.03095442371348,3.21533566073331,6.46969626509652,4.68008070378663,2.66712600891362,4.30146634896839
3.90935697614571,3.215696768634,4.77911557521264,5.04941492755909,3.38736682016203,4.92050728833528,2.48361422988109,5.24235635064049,2.93766513475398,2.60278183809289,2.74960231505555
3.70602650351889,3.1941242315176,3.81534685345742,4.05484586291669,3.77925547103001,3.80502963091759,3.44674043450817,5.09154828172148,3.61664221534346,2.90232066244455,2.96104702138921
3.87979267230356,3.47347480651133,3.87831815089737,4.53112747937324,3.88959917886585,3.99614881726281,2.88883940909152,5.23944876053858,3.53953021479453,3.03925400301265,3.04834352305588
3.19731704317606,3.4639534054143,3.75499424533775,4.76050843609305,3.4306853583477,4.04841973024062,2.58654093176074,4.45018157316812,4.28084230097308,2.48813762254442,3.02762091901512
3.30809569397906,3.20424779782214,4.27051700197272,4.92744851480976,3.43868524805611,4.41652175249119,3.2482325258329,4.69517938006005,3.54447341555427,2.42955236523706,3.48705432978553
3.10381310175802,3.51526843199096,3.76788670470079,5.34378257541336,3.23702259049021,4.83945379239839,3.68784751319147,7.37106740090038,4.14941702736448,2.7416630946972,2.7266645457979
3.83066224781692,3.4213668138314,3.84588129539468,4.26245168698692,3.56935284624679,4.22173335569573,3.22420632523581,4.21672568604679,4.65423029780575,2.63640454356559,3.01710941538198
3.69558794958915,2.94673432465334,4.3862808981189,5.76737087870917,3.76417131607373,4.80363244097749,3.07251722088543,4.4749552848883,3.78202315459319,2.10265891339105,2.98884273996123
